package_id,package_name,company_name,package_cc,package_type,package_price,detail,,,,,,,,id
AKA033,PMS120SN15,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,2+,0,"2+ ทุน 150,000 ,No Deduct",,,,,,,,
AKA034,PMS120SN20,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,2+,0,"2+ ทุน 200,000 ,No Deduct",,,,,,,,
AKA035,PMS120SN30,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,2+,0,"2+ ทุน 300,000 ,No Deduct",,,,,,,,
AKA036,PMC210MC5,อาคเนย์ประกันภัย,รถยนต์โดยสาร,ป.3 ซิลเวอร์,0,แคมเปญซิลเวอร์ ประเภท 3 รวม พรบ. รถโดยสารส่วนบุคคล,,,,,,,,
AKA037,PMD210MD1,อาคเนย์ประกันภัย,รถยนต์โดยสาร,ป.3 ไดมอนด์,0,แคมเปญไดมอนด์ ประเภท 3 ไม่รวม พรบ. รถโดยสารส่วนบุคคล,,,,,,,,
AKA038,PME210EP10,อาคเนย์ประกันภัย,รถยนต์โดยสาร,3+ ZERO,0,แคมเปญซีโร่ญี่ปุ่น,,,,,,,,
AKA039,PME210EU75,อาคเนย์ประกันภัย,รถยนต์โดยสาร,3+ ZERO,0,แคมเปญซีโร่ยุโรป,,,,,,,,
AKA040,PMG210MG6,อาคเนย์ประกันภัย,รถยนต์โดยสาร,ป.3 โกลด์,0,แคมเปญโกลด์ ประเภท 3 รวม พรบ. รถโดยสารส่วนบุคคล,,,,,,,,
AKA041,PMP210P010,อาคเนย์ประกันภัย,รถยนต์โดยสาร,3+ แพลทตินั่ม,0,"3+ ทุน 1 แสน,Deduct 2 พัน",,,,,,,,
AKA042,PMP210P015,อาคเนย์ประกันภัย,รถยนต์โดยสาร,3+ แพลทตินั่ม,0,"3+ ทุน 150,000,Deduct 2 พัน",,,,,,,,
AKA043,PMP210PD10,อาคเนย์ประกันภัย,รถยนต์โดยสาร,3+ แพลทตินั่ม,0,"3+ ทุน 1 แสน,Deduct 1 พัน",,,,,,,,
AKA044,PMP210PD15,อาคเนย์ประกันภัย,รถยนต์โดยสาร,3+ แพลทตินั่ม,0,"3+ ทุน 150,000,Deduct 1 พัน",,,,,,,,
AKA045,PMP210PN10,อาคเนย์ประกันภัย,รถยนต์โดยสาร,3+ แพลทตินั่ม,0,"3+ ทุน 100,000, No Deduct",,,,,,,,
AKA046,PMP210PN15,อาคเนย์ประกันภัย,รถยนต์โดยสาร,3+ แพลทตินั่ม,0,"3+ ทุน 150,000, No Deduct",,,,,,,,
AKA047,PMS210S015,อาคเนย์ประกันภัย,รถยนต์โดยสาร,2+,0,"2+ ทุน 150,000 ,Deduct 2,000",,,,,,,,
AKA048,PMS210SD15,อาคเนย์ประกันภัย,รถยนต์โดยสาร,2+,0,"2+ ทุน 150,000 ,Deduct 1,000",,,,,,,,
AKA049,PMS210SN10,อาคเนย์ประกันภัย,รถยนต์โดยสาร,2+,0,"2+ ทุน 100,000 ,No Deduct",,,,,,,,
AKA050,PMS210SN15,อาคเนย์ประกันภัย,รถยนต์โดยสาร,2+,0,"2+ ทุน 150,000 ,No Deduct",,,,,,,,
AKA051,PMS210SN20,อาคเนย์ประกันภัย,รถยนต์โดยสาร,2+,0,"2+ ทุน 200,000 ,No Deduct",,,,,,,,
AKA052,PMS210SN30,อาคเนย์ประกันภัย,รถยนต์โดยสาร,2+,0,"2+ ทุน 300,000 ,No Deduct",,,,,,,,
AKA053,PMC320MC5,อาคเนย์ประกันภัย,รถยนต์บรรทุก,ป.3 ซิลเวอร์,0,แคมเปญซิลเวอร์ ประเภท 3 รวม พรบ. รถโดยสารส่วนบุคคล,,,,,,,,
AKA054,PMD320MD1,อาคเนย์ประกันภัย,รถยนต์บรรทุก,ป.3 ไดมอนด์,0,แคมเปญไดมอนด์ ประเภท 3 ไม่รวม พรบ. รถโดยสารส่วนบุคคล,,,,,,,,
AKA055,PME320EP10,อาคเนย์ประกันภัย,รถยนต์บรรทุก,3+ ZERO,0,แคมเปญซีโร่ญี่ปุ่น,,,,,,,,
AKA056,PME320EU75,อาคเนย์ประกันภัย,รถยนต์บรรทุก,3+ ZERO,0,แคมเปญซีโร่ยุโรป,,,,,,,,
AKA057,PMG320MG6,อาคเนย์ประกันภัย,รถยนต์บรรทุก,ป.3 โกลด์,0,แคมเปญโกลด์ ประเภท 3 รวม พรบ. รถโดยสารส่วนบุคคล,,,,,,,,
AKA058,PMP320P010,อาคเนย์ประกันภัย,รถยนต์บรรทุก,3+ แพลทตินั่ม,0,"3+ ทุน 1 แสน,Deduct 2 พัน",,,,,,,,
AKA059,PMP320P015,อาคเนย์ประกันภัย,รถยนต์บรรทุก,3+ แพลทตินั่ม,0,"3+ ทุน 150,000,Deduct 2 พัน",,,,,,,,
AKA060,PMP320PD10,อาคเนย์ประกันภัย,รถยนต์บรรทุก,3+ แพลทตินั่ม,0,"3+ ทุน 1 แสน,Deduct 1 พัน",,,,,,,,
AKA061,PMP320PD15,อาคเนย์ประกันภัย,รถยนต์บรรทุก,3+ แพลทตินั่ม,0,"3+ ทุน 150,000,Deduct 1 พัน",,,,,,,,
AKA062,PMP320PN10,อาคเนย์ประกันภัย,รถยนต์บรรทุก,3+ แพลทตินั่ม,0,"3+ ทุน 100,000, No Deduct",,,,,,,,
